pil,wmo_prefix,title
18A,FB,18 Hour Report
24A,FB,24 Hour Report
30L,FE,Monthly Weather Outlook
5TC,AU,500 Millibar Type Correlation
ABV,UF,Rawinsonde Data Above 100 Millibars
ADA,NO,Alarm/Alert Administrative Message
ADM,NO,Alert Administrative Message
ADR,NO,Administrative Message
ADV,NW,Official Space Weather Advisory
ADW,NO,Administrative Message for NWWS
ADX,NT,Administrative Alert Non-Receipt
AFD,FX,Area Forecast Discussion
AFM,FO,Area Forecast Matrices
AFP,FL,Area Forecast Product
AGF,FN,Agricultural Forecast
AGO,SH,Agricultural Observations
ALM,NW,Space Environment Alarm
ALT,WO,Space Weather Message Alert
APG,AE,Air Stagnation Guidance Narrative
AQA,AE,Air Quality Message
AQI,AE,Air Quality Index Statement
ARP,UA,AIREPS
ASA,AE,Air Stagnation Advisory
AVA,WO,Avalanche Watch
AVM,NO,Aviation Verification Matrix
AVW,WO,Avalanche Warning
AWG,WO,National Attack Warning
AWO,NO,Area Weather Outlook
AWS,AW,Area Weather Summary
AWU,FL,Area Weather Update
AWW,WW,Aviation Weather Warning
BOY,SS,Buoy Reports
BRT,AX,Area Synopsis and Forecast
CAE,WO,Child Abduction Emergency
CAP,XO,Alert Messages in CAP XML
CCF,FP,Coded City Forecast
CDW,WO,Civil Danger Warning
CEM,WO,Civil Emergency Message
CF6,CX,Climate F-6 products
CFP,FA,Convective Forecast Product
CFW,WH,Coastal/Lakeshore Hazard Messages
CGR,SX,Coast Guard Surface Report
CHG,WT,Computer Hurricane Guidance
CLA,CX,Climate Report Annual
CLI,CD,Climate Report Daily
CLM,CX,Climate Report Monthly
CLS,CX,Climate Report Seasonal
CMM,CS,Coded Climatological Monthly Means
COD,FX,Coded Analysis and Forecasts
CSC,FP,Canadian Selected Cities Forecast
CUR,FX,Current Space Weather Indices
CWA,WL,Center Weather Advisory
CWD,NZ,Discussion for Coastal Waters Forecast
CWF,FZ,Coastal Waters Forecast
CWS,WO,Center Weather Statement
DAA,SD,170 QPE One Hour Digital Accumulation
DAY,FX,Daily Space Weather Summary and Forcast
DGT,AX,Drought Information
DHR,SD,Digital Hybrid Reflectivity
DMO,WO,Practice/Demo Warning
DOD,SD,174 QPE-PPS One Hour Accumulation Difference
DPA,SD,Radar Hourly Digital Precipitation
DPR,SD,176 QPE Instanteaneous Precipitation Rate
DSA,AC,Unnumbered Depression
DSM,CX,Asos Daily Summary
DSP,SD,Adigital Storm Total Precipitation Nexrad
DST,CX,ASOS Daily Summary
DSW,WW,Dust Storm Warning
DU3,SD,173 QPE User Selectable 3 Hour Accumulation
DU6,SD,173 QPE User Selectable 24 Hour Accumulation
EAN,WO,Presidential Alert
EET,SD,135 Radar Enhanced Echo Tops
EFP,FE,3 TO 5 Day Extended Forecast
EOL,FE,Average 6 TO 10 Day Weather Outlook
EON,FE,Average 6 TO 10 Day Weather Outlook
EQI,SE,Earthquake Information Bulletin
EQR,SE,Earthquake Report
EQW,WO,Earthquake Warning
ESF,FG,Flood Potential Outlook
ESG,FG,Extended Streamflow Guidance
ESP,FG,Extended Streamflow Prediction
ESS,FG,Water Supply Outlook
EVI,WO,Evacuation Immediate
EWW,WF,Extreme Wind Warning
FA0,FA,Aviation Area Forecast (Pacific)
FA1,FA,Aviation Area Forecast (Northeast U.S.)
FA2,FA,Aviation Area Forecast (Southeast U.S.)
FA3,FA,Aviation Area Forecast (North Cent U.S.)
FA4,FA,Aviation Area Forecast (South Cent U.S.)
FA5,FA,Aviation Area Forecast (U.S. Rocky Mts.)
FA6,FA,Aviation Area Forecast (U.S. West Coast)
FA7,FA,Aviation Area Forecast (Juneau)
FA8,FA,Aviation Area Forecast (Anchorage)
FA9,FA,Aviation Area Forecast (Fairbanks)
FAK,FA,Alaskan Model Output Statistics Forecast
FAN,FE,AVN Based MOS Guidance
FAV,FA,Aviation Area forecast
FBP,FO,"AK FOUS 24, 36, and 24 Boundary"
FD0,FB,24 Hr FD Winds Aloft Forecast
FD1,FB,6 Hour Winds Aloft Forecast
FD2,FB,12 Hour Winds Aloft Forecast
FD3,FB,24 Hour Winds Aloft Forecast
FD8,FB,24 Hour Winds Aloft Forecast
FD9,FB,6 Hour Winds Aloft Forecast
FDI,FN,Fire Danger Indices
FFA,WG,Flash Flood Watch
FFG,FO,Flash Flood Guidance
FFH,FO,Headwater Guidance
FFS,WG,Flash Flood Statement
FFW,WG,Flash Flood Warning
FLN,FG,National Flood Summary
FLS,WG,Flood Statement
FLW,WG,Flood Warning
FMR,FE,Forecast Medium Range Guidance
FOF,FD,Upper Wind Fallout Forecast
FOH,FO,ETA FOUS Freezing and Relative Humidity
FRH,FO,FOUS Relative Humidity/Temperature Guidance
FRW,WO,Fire Warning
FSH,NO,National Marine Fisheries Message
FTJ,FO,FOUS Trajectory Forecast
FTM,NO,WSR-88D Radar Status Notification
FTP,FO,FOUS Prog Max/Min Temp/Pop Guidance
FWA,NO,Fire Weather Administrative Message
FWC,FO,NGM Mos Guidance
FWD,FN,Fire Weather Outlook Discussion
FWE,FE,Extended Fire Weather Outlook
